datetime,COL,NG,NUC,OTH,SUN,WAT,WND,MWh,carbon_footprint,carbon_per_MWh
2018-07-01 06:00:00+00:00,46440,20997,11610,1122,0,785,4058,85012,55631959.18367347,654.4012513959614
2018-07-01 07:00:00+00:00,41476,20169,11622,1076,0,728,4148,79219,50269963.71882086,634.5695315368897
2018-07-01 08:00:00+00:00,39096,19640,11624,1062,0,687,3287,75396,47644662.13151927,631.9255946140282
2018-07-01 09:00:00+00:00,37412,18905,11629,1056,0,688,3077,72767,45638235.8276644,627.1831438380639
2018-07-01 10:00:00+00:00,36576,18694,11637,1061,0,689,3015,71672,44705678.004535146,623.7537393198899
2018-07-01 11:00:00+00:00,36015,18155,11649,1055,0,685,3779,71338,43915873.015873015,615.6028065809669
2018-07-01 12:00:00+00:00,35809,18301,11644,1061,5,682,4666,72168,43767791.38321995,606.4708926840144
2018-07-01 13:00:00+00:00,39992,19251,11638,1057,30,695,5009,77672,48390281.17913832,623.0080489640839
2018-07-01 14:00:00+00:00,44080,21057,11627,1052,70,872,6005,84763,53269963.71882086,628.4577435770426
2018-07-01 15:00:00+00:00,46541,24731,11625,1073,116,890,7253,92229,57275120.181405894,621.0098795542172
2018-07-01 16:00:00+00:00,49171,25735,11621,1087,187,886,8270,96957,60349287.98185941,622.433532203548
2018-07-01 17:00:00+00:00,50957,28973,11618,1148,195,911,8130,101932,63491854.87528344,622.8844217251054
2018-07-01 18:00:00+00:00,52331,31988,11609,1210,188,912,7324,105562,66125718.820861675,626.4159339616688
2018-07-01 19:00:00+00:00,52548,34215,11602,1254,215,1346,7307,108487,67264258.50340135,620.0213712555546
2018-07-01 20:00:00+00:00,51931,34539,11606,1247,261,1765,7719,109068,66773977.324263036,612.2233590444772
2018-07-01 21:00:00+00:00,52146,35126,11605,1253,243,2277,7437,110087,67233668.93424036,610.7321385289848
2018-07-01 22:00:00+00:00,52610,35615,11608,1250,201,2300,6614,110198,67904739.22902495,616.2066392223538
2018-07-01 23:00:00+00:00,53475,35510,11611,1253,139,2262,5710,109960,68736213.15192744,625.1019748265501
2018-07-02 00:00:00+00:00,53809,35232,11617,1259,124,1606,5012,108659,68959269.84126984,634.6392829058783
2018-07-02 01:00:00+00:00,53941,33426,11625,1244,80,885,4121,105322,68347433.10657597,648.9378582497101
2018-07-02 02:00:00+00:00,53376,31331,11627,1213,15,799,3225,101586,66911424.036281176,658.66776953794
2018-07-02 03:00:00+00:00,52365,29149,11603,1208,0,757,3432,98514,64988453.51473923,659.6874912676293
2018-07-02 04:00:00+00:00,50312,24951,11606,1219,0,743,4025,92856,61179668.93424036,658.8660822589856
2018-07-02 05:00:00+00:00,46578,21904,11619,1176,0,724,4397,86398,56145841.26984127,649.8511686594744
2018-07-02 06:00:00+00:00,43381,20613,11632,1116,0,708,4290,81740,52379800.45351474,640.809890549483
2018-07-02 07:00:00+00:00,39121,20038,11645,1069,0,690,4437,77000,47834199.54648526,621.2233707335748
2018-07-02 08:00:00+00:00,36790,19540,11654,1058,0,740,4804,74586,45271247.16553288,606.9670871950887
2018-07-02 09:00:00+00:00,35272,19004,11666,1035,0,746,5102,72825,43514829.93197279,597.5259860209102
2018-07-02 10:00:00+00:00,35814,19010,11673,1013,0,745,5377,73632,44065451.24716553,598.4551723050512
2018-07-02 11:00:00+00:00,37910,19784,11680,1027,0,765,5098,76264,46504643.9909297,609.7850098464505
2018-07-02 12:00:00+00:00,40720,21461,11683,1058,23,798,4621,80364,50038598.63945578,622.6494280953633
2018-07-02 13:00:00+00:00,44931,23283,11680,1062,101,801,3594,85452,55049278.911564626,644.2128787104413
2018-07-02 14:00:00+00:00,49468,26189,11681,1054,159,812,2478,91841,60837020.408163264,662.4167899757545
2018-07-02 15:00:00+00:00,51118,30910,11667,1079,220,830,2232,98056,64454077.09750567,657.3190533726204
2018-07-02 16:00:00+00:00,52112,34785,11652,1138,273,1276,2651,103887,67058553.28798186,645.495136908197
2018-07-02 17:00:00+00:00,52979,36467,11647,1191,261,2166,2869,107580,68629541.95011337,637.9395979746548
2018-07-02 18:00:00+00:00,53028,39232,11642,1236,260,2153,3520,111071,69820208.61678004,628.6088053297444
2018-07-02 19:00:00+00:00,54125,41020,11639,1240,266,2147,4162,114599,71667551.02040815,625.3767573923695
2018-07-02 20:00:00+00:00,54480,41600,11638,1248,253,2653,4807,116679,72265941.04308389,619.3568769280153
2018-07-02 21:00:00+00:00,54429,42113,11629,1249,185,2464,5318,117387,72426077.09750567,616.985501780484
2018-07-02 22:00:00+00:00,54455,42225,11622,1225,187,2422,5627,117763,72498594.10430838,615.6313451959306
2018-07-02 23:00:00+00:00,54353,41527,11630,1243,152,2289,5742,116936,72107374.14965986,616.6396503186346
2018-07-03 00:00:00+00:00,54278,39873,11627,1256,110,1731,5615,114490,71348920.63492063,623.1891050303138
2018-07-03 01:00:00+00:00,54540,37447,11627,1257,49,923,5025,110868,70612684.80725624,636.9077173508698
2018-07-03 02:00:00+00:00,54352,33505,11637,1236,4,874,5370,106978,68795696.14512472,643.082653864577
2018-07-03 03:00:00+00:00,52806,29669,11644,1214,0,838,6775,102946,65649056.6893424,637.7038125749656
2018-07-03 04:00:00+00:00,49394,24708,11650,1189,0,832,8327,96100,60150975.05668934,625.920656157017
2018-07-03 05:00:00+00:00,44716,21694,11656,1116,0,806,8826,88814,54176063.49206349,609.9946347655042
2018-07-03 06:00:00+00:00,39365,20213,11658,1029,0,798,9022,82085,48153188.20861678,586.6259147056926
2018-07-03 07:00:00+00:00,35612,19092,11667,1013,0,843,9185,77412,43895002.26757369,567.0309805659806
2018-07-03 08:00:00+00:00,33004,18222,11666,1012,0,839,9124,73867,40898385.48752835,553.6760053546014
2018-07-03 09:00:00+00:00,31907,17441,11668,1017,0,849,8835,71717,39466630.38548753,550.3106709077001
2018-07-03 10:00:00+00:00,32688,17752,11670,1013,0,842,8160,72125,40384834.46712018,559.928380826623
2018-07-03 11:00:00+00:00,34490,18607,11671,1022,0,840,7946,74576,42560122.448979594,570.6946262735946
2018-07-03 12:00:00+00:00,37972,20335,11669,1017,5,839,7273,79110,46794743.76417233,591.514900318194
2018-07-03 13:00:00+00:00,43635,22156,11667,996,19,851,6075,85399,53273473.922902495,623.8184747233867
2018-07-03 14:00:00+00:00,48397,25325,11661,1053,54,781,4770,92041,59397306.12244898,645.3352975570559
2018-07-03 15:00:00+00:00,50840,28646,11641,1105,99,768,4336,97435,63238575.96371882,649.033468093794
2018-07-03 16:00:00+00:00,52896,32402,11631,1165,127,815,3922,102958,66867981.85941043,649.468539204437
2018-07-03 17:00:00+00:00,53285,36131,11622,1222,199,1344,3896,107699,68800344.67120181,638.8206452353486
2018-07-03 18:00:00+00:00,54103,38299,11617,1262,193,1959,4904,112337,70522349.20634921,627.7749023594115
2018-07-03 19:00:00+00:00,54083,39480,11630,1266,207,2314,5985,114965,70989519.27437642,617.4880987637665
2018-07-03 20:00:00+00:00,54081,40720,11630,1264,207,2422,6305,116629,71499242.63038549,613.0485782299899
2018-07-03 21:00:00+00:00,54143,41015,11606,1273,188,2604,6008,116837,71683691.60997732,613.5358799864539
2018-07-03 22:00:00+00:00,54429,40841,11613,1276,167,2516,5872,116714,71901124.71655329,616.0454162872774
2018-07-03 23:00:00+00:00,54877,39672,11612,1271,164,2354,5921,115871,71871759.63718821,620.2739221823252
2018-07-04 00:00:00+00:00,54988,37327,11614,1280,103,1418,5486,112216,71016240.36281179,632.8530723142136
2018-07-04 01:00:00+00:00,55021,34738,11612,1272,45,935,4779,108402,69981138.32199547,645.5705459492949
2018-07-04 02:00:00+00:00,54139,31681,11616,1245,7,918,5223,104829,67827519.27437642,647.0301087902815
2018-07-04 03:00:00+00:00,52714,29006,11625,1225,0,870,6474,101914,65282394.55782313,640.5635590578638
2018-07-04 04:00:00+00:00,49614,25057,11563,1201,0,869,7724,96028,60517501.13378685,630.206826485888
2018-07-04 05:00:00+00:00,46356,21179,11439,1144,0,852,8485,89455,55622117.913832195,621.7888090529561
2018-07-04 06:00:00+00:00,42477,19534,11347,1084,0,844,8155,83441,51020249.43310657,611.4529959265418
2018-07-04 07:00:00+00:00,38136,18246,11311,1037,0,871,7909,77510,46098476.19047619,594.7423066762507
2018-07-04 08:00:00+00:00,35445,17660,11239,1026,0,885,7661,73916,43135124.716553286,583.5695210313503
2018-07-04 09:00:00+00:00,34167,17204,11229,1011,0,875,7364,71850,41654444.44444444,579.7417459212866
2018-07-04 10:00:00+00:00,34040,16812,11224,1016,0,875,6860,70827,41364226.757369615,584.017772281328
2018-07-04 11:00:00+00:00,34395,16894,11229,1019,0,878,6260,70675,41757092.97052154,590.83258536288
2018-07-04 12:00:00+00:00,35216,17885,11232,1025,12,906,5605,71881,42996385.48752835,598.1606472854905
2018-07-04 13:00:00+00:00,39305,20126,11230,1023,71,921,4450,77126,48056603.17460317,623.0921242460801
2018-07-04 14:00:00+00:00,46095,21882,11225,1057,124,928,3778,85089,55648285.71428571,654.0009368342055
2018-07-04 15:00:00+00:00,50835,24785,11216,1101,142,947,4060,93086,61640090.70294784,662.1843317249408
2018-07-04 16:00:00+00:00,53281,29101,11202,1164,175,982,4107,100012,65895029.47845805,658.871230236952
2018-07-04 17:00:00+00:00,53013,31509,11211,1178,157,1241,4585,102894,66617768.70748299,647.4407517200516
2018-07-04 18:00:00+00:00,54181,34407,11208,1226,181,1755,4619,107577,68995011.33786848,641.3546700304756
2018-07-04 19:00:00+00:00,54477,35473,11210,1262,274,2201,4684,109581,69734303.85487528,636.3722164871217
2018-07-04 20:00:00+00:00,54662,36677,11183,1264,226,2649,4511,111172,70418290.2494331,633.4174994551964
2018-07-04 21:00:00+00:00,55211,36773,11178,1266,173,3120,3875,111596,71013133.78684807,636.3412110366686
2018-07-04 22:00:00+00:00,55819,37023,11121,1447,180,2994,3031,111615,71731201.81405896,642.6663245447203
2018-07-04 23:00:00+00:00,56205,36557,11065,1345,156,2519,3173,111020,71929260.77097505,647.8946205276081
2018-07-05 00:00:00+00:00,56170,35851,11064,1253,99,1654,3068,109159,71602498.86621314,655.9468194671364
2018-07-05 01:00:00+00:00,56175,33698,11075,1252,42,979,2526,105747,70719015.87301587,668.7567105734996
2018-07-05 02:00:00+00:00,55117,30136,11089,1243,4,897,2560,101046,68178988.66213152,674.7321879355097
2018-07-05 03:00:00+00:00,53832,27579,11095,1180,0,878,2879,97443,65824149.65986394,675.5143998015654
2018-07-05 04:00:00+00:00,52354,25020,11096,1085,0,863,3135,93553,63273297.05215419,676.3363767292785
2018-07-05 05:00:00+00:00,48986,22470,11107,898,0,834,4386,88681,58814730.15873016,663.216812606197
2018-07-05 06:00:00+00:00,44991,20453,11079,806,0,816,5243,83388,53942022.67573696,646.8799188820568
2018-07-05 07:00:00+00:00,41882,19769,11054,772,0,850,4136,78463,50515487.52834467,643.812848455255
2018-07-05 08:00:00+00:00,39389,19574,11051,744,0,863,3722,75343,47913746.03174603,635.9415742901932
2018-07-05 09:00:00+00:00,37842,19387,11055,765,0,867,3705,73621,46272031.746031746,628.5167512806366
2018-07-05 10:00:00+00:00,38448,19436,11058,772,0,863,3518,74095,46905124.716553286,633.040349774658
2018-07-05 11:00:00+00:00,40748,19732,11048,772,0,857,3469,76626,49353360.54421768,644.0811283926824
2018-07-05 12:00:00+00:00,43998,20928,11048,803,12,874,3315,80978,53133795.91836735,656.1510029683043
2018-07-05 13:00:00+00:00,48303,23493,11033,860,81,889,3186,87845,58546176.8707483,666.4713628635471
2018-07-05 14:00:00+00:00,51358,28089,11004,891,148,878,2735,95103,63532575.96371882,668.0396618794235
2018-07-05 15:00:00+00:00,53331,33176,10978,935,232,850,2991,102493,67627342.40362811,659.8240114312988
2018-07-05 16:00:00+00:00,53635,37166,10964,950,266,1152,3353,107486,69581455.78231293,647.3536626380452
2018-07-05 17:00:00+00:00,53319,40587,10953,959,293,1879,3165,111155,70673714.28571428,635.8122827197542
2018-07-05 18:00:00+00:00,54621,42660,10953,948,292,2205,2983,114662,72846000.0,635.3107393905566
2018-07-05 19:00:00+00:00,55188,44112,10981,955,292,2504,3144,117176,74018666.66666667,631.6879451992445
2018-07-05 20:00:00+00:00,55372,44851,11023,988,307,2879,3259,118679,74509736.96145125,627.8257902531303
2018-07-05 21:00:00+00:00,55123,44146,11077,970,291,2970,3165,117742,73966961.45124717,628.2122050860964
2018-07-05 22:00:00+00:00,55596,43871,11123,961,250,2947,2577,117325,74331832.19954649,633.5549303178904
2018-07-05 23:00:00+00:00,55818,42488,11207,948,231,2367,2085,115144,73985587.3015873,642.5483507745719
2018-07-06 00:00:00+00:00,55610,39898,11290,941,178,1948,2078,111943,72706340.13605443,649.4942974197085
2018-07-06 01:00:00+00:00,55343,37249,11341,926,86,1262,2426,108633,71343074.82993197,656.7348303916119
2018-07-06 02:00:00+00:00,54816,34215,11470,910,15,904,2759,105089,69557972.78911564,661.8958481774081
2018-07-06 03:00:00+00:00,53899,30502,11615,892,1,911,3335,101155,67098226.757369615,663.3209110510564
2018-07-06 04:00:00+00:00,51294,25668,11625,877,0,915,4038,94417,62468707.48299319,661.6256339747417
2018-07-06 05:00:00+00:00,46491,22714,11629,887,0,874,5092,87687,56392140.58956916,643.1071947902102
2018-07-06 06:00:00+00:00,41465,20655,11635,870,0,867,5851,81343,50459410.430839,620.3288596540452
2018-07-06 07:00:00+00:00,37181,19037,11642,850,0,864,6043,75617,45459092.97052154,601.175568595971
2018-07-06 08:00:00+00:00,34522,18102,11656,825,0,865,6195,72165,42384072.562358275,587.3217288485869
2018-07-06 09:00:00+00:00,33758,17345,11666,818,0,865,6184,70636,41298997.7324263,584.6735054706708
2018-07-06 10:00:00+00:00,33716,17244,11678,815,0,865,6103,70421,41214839.00226757,585.2634725759017
2018-07-06 11:00:00+00:00,35092,17859,11683,824,0,861,5835,72154,42860249.43310657,594.0107191993038
2018-07-06 12:00:00+00:00,36591,19007,11682,822,25,865,5839,74831,44850022.67573696,599.35083956832
2018-07-06 13:00:00+00:00,39827,20532,11677,872,127,887,5463,79385,48752077.09750567,614.1220267998447
2018-07-06 14:00:00+00:00,44185,22445,11679,894,205,883,4474,84765,53948979.591836736,636.4534842427504
2018-07-06 15:00:00+00:00,47572,23701,11670,949,254,885,4579,89610,57892730.15873016,646.0521164906836
2018-07-06 16:00:00+00:00,49765,24943,11660,1074,288,1388,4784,93902,60623165.532879815,645.6003656245854
2018-07-06 17:00:00+00:00,50527,27423,11659,1100,306,1453,4409,96877,62417297.05215419,644.2942809145018
2018-07-06 18:00:00+00:00,52024,30055,11658,1113,304,1546,3563,100263,65017492.06349206,648.4694459919617
2018-07-06 19:00:00+00:00,52816,30774,11661,1141,292,2400,2886,101970,66115201.81405895,648.3789527710009
2018-07-06 20:00:00+00:00,53389,31564,11574,1205,306,2597,2793,103428,67020730.15873016,647.9940650378056
2018-07-06 21:00:00+00:00,54013,32196,11601,1232,301,2468,2571,104382,67912630.38548753,650.6162976900953
2018-07-06 22:00:00+00:00,54106,31900,11651,1236,215,2351,2480,103939,67884526.0770975,653.1189070233262
2018-07-06 23:00:00+00:00,54119,30738,11663,1216,168,1964,2477,102345,67418117.9138322,658.7338698894152
2018-07-07 00:00:00+00:00,53386,28186,11664,1195,115,1673,2678,98897,65623600.90702948,663.5550209513887
2018-07-07 01:00:00+00:00,51992,25576,11663,1212,58,1217,3018,94736,63136653.06122449,666.4483729651294
2018-07-07 02:00:00+00:00,49089,23356,11667,1213,8,996,3578,89907,59284548.75283446,659.3985869046288
2018-07-07 03:00:00+00:00,46048,21623,11675,1204,0,903,4867,86320,55493863.94557823,642.8853561813975
2018-07-07 04:00:00+00:00,41606,18914,11689,1183,0,905,6659,80956,49883501.13378685,616.1804082932315
2018-07-07 05:00:00+00:00,38637,16281,11698,1112,0,906,7372,76006,45794204.08163265,602.5077504622352
2018-07-07 06:00:00+00:00,34877,13976,11702,1031,0,885,7645,70116,41040303.85487528,585.32009605333
2018-07-07 07:00:00+00:00,30966,12744,11713,991,0,887,7851,65152,36576517.00680272,561.4028273391872
2018-07-07 08:00:00+00:00,29142,12218,11721,993,0,878,7639,62591,34514757.36961451,551.433231129308
2018-07-07 09:00:00+00:00,28561,11846,11723,999,0,875,7494,61498,33773646.2585034,549.1828394175973
2018-07-07 10:00:00+00:00,28036,11663,11733,1012,0,875,7393,60712,33167170.06802721,546.3033678354725
2018-07-07 11:00:00+00:00,27798,11576,11740,1001,0,874,7206,60195,32890566.893424034,546.4003138703221
2018-07-07 12:00:00+00:00,28276,12130,11742,992,18,880,6986,61024,33602621.315192744,550.6459969060164
2018-07-07 13:00:00+00:00,31820,13598,11741,991,106,896,6059,65211,37792643.9909297,579.544003173233
2018-07-07 14:00:00+00:00,37610,14468,11731,1011,179,899,4978,70876,44007337.86848073,620.9060594345156
2018-07-07 15:00:00+00:00,41053,15397,11723,1033,227,903,4861,75197,47872770.975056686,636.6313945377699
2018-07-07 16:00:00+00:00,43594,17012,11710,1036,281,866,4802,79301,51109088.43537415,644.4948794513833
2018-07-07 17:00:00+00:00,45934,18465,11704,1041,282,883,4618,82927,54075269.841269836,652.0827937977961
2018-07-07 18:00:00+00:00,47594,19688,11699,1080,295,1017,4718,86091,56258820.861678004,653.4808616658885
2018-07-07 19:00:00+00:00,49073,20617,11694,1118,291,1031,4900,88724,58137986.39455782,655.2678688354653
2018-07-07 20:00:00+00:00,49776,21354,11686,1168,287,1526,5032,90829,59153115.6462585,651.2580304336556
2018-07-07 21:00:00+00:00,51189,21592,11684,1193,260,1812,5238,92968,60680358.27664399,652.7015561983047
2018-07-07 22:00:00+00:00,52334,21923,11687,1191,240,1854,5426,94655,61974943.3106576,654.7455846036406
2018-07-07 23:00:00+00:00,52505,21873,11683,1182,187,1720,5479,94629,62127247.16553288,656.5349646042215
2018-07-08 00:00:00+00:00,52097,21322,11687,1180,139,1266,5412,93103,61487224.489795916,660.4215169199265
2018-07-08 01:00:00+00:00,50575,20109,11691,1161,69,936,4938,89479,59447365.079365075,664.3722558294692
2018-07-08 02:00:00+00:00,48213,18769,11698,1112,12,888,5022,85714,56505569.16099773,659.2338376577658
2018-07-08 03:00:00+00:00,45709,17057,11702,1061,0,892,5963,82384,53266639.45578231,646.5653458897639
2018-07-08 04:00:00+00:00,41543,14705,11707,1037,0,895,7403,77290,48082739.22902494,622.1081540823513
2018-07-08 05:00:00+00:00,35977,13772,11711,1029,0,872,8502,71863,42068585.03401361,585.3997889597374
2018-07-08 06:00:00+00:00,31704,12023,11719,987,0,885,9377,66695,37025328.79818594,555.1439957745848
2018-07-08 07:00:00+00:00,29017,11181,11677,961,0,897,9912,63645,33960371.882086165,533.5905708553094
2018-07-08 08:00:00+00:00,27177,10764,11646,962,0,893,9950,61392,31927414.965986393,520.0582317889366
2018-07-08 09:00:00+00:00,26358,10643,11652,964,0,893,9344,59854,31049192.74376417,518.7488345601658
2018-07-08 10:00:00+00:00,26437,10425,11717,969,0,891,8918,59357,31039120.181405894,522.9226575030054
2018-07-08 11:00:00+00:00,26645,10264,11752,973,0,890,8203,58727,31183034.013605442,530.9829212049899
2018-07-08 12:00:00+00:00,26921,10545,11757,971,18,887,7383,58482,31578131.519274376,539.9632625299131
2018-07-08 13:00:00+00:00,30571,12259,11751,971,93,905,6400,62950,35976879.818594106,571.515167888707
2018-07-08 14:00:00+00:00,35196,14269,11737,969,162,914,5083,68330,41483841.26984127,607.1102190815348
2018-07-08 15:00:00+00:00,39839,15906,11725,994,207,906,4323,73900,46855070.294784576,634.0334275342974
2018-07-08 16:00:00+00:00,43945,18176,11715,1014,243,902,3812,79807,51944448.97959183,650.8758502335864
2018-07-08 17:00:00+00:00,46679,20630,11702,1022,259,910,3382,84584,55722208.61678004,658.7795400640788
2018-07-08 18:00:00+00:00,49941,22388,11698,1072,286,1031,3480,89896,59746716.55328798,664.6204119570168
2018-07-08 19:00:00+00:00,51837,24156,11693,1119,291,1048,3807,93951,62393863.94557823,664.11069542185
2018-07-08 20:00:00+00:00,52449,24992,11684,1177,268,1533,4579,96682,63357818.594104305,655.3217620043473
2018-07-08 21:00:00+00:00,53276,25924,11674,1214,215,1847,5135,99285,64578829.93197279,650.4389377244578
2018-07-08 22:00:00+00:00,53933,26337,11673,1218,220,2567,5382,101330,65413723.356009066,645.551399940877
2018-07-08 23:00:00+00:00,54323,27523,11675,1238,190,2641,5306,102896,66297605.44217687,644.3166443999463
2018-07-09 00:00:00+00:00,54333,27425,11681,1240,151,2379,5098,102307,66267274.376417235,647.7296213985087
2018-07-09 01:00:00+00:00,54193,26056,11679,1219,73,1715,5036,99971,65560702.9478458,655.7972106695522
2018-07-09 02:00:00+00:00,53237,23830,11681,1193,6,1089,5777,96813,63675197.27891156,657.7132955172503
2018-07-09 03:00:00+00:00,50609,21566,11676,1184,0,879,7061,92975,60083052.15419501,646.2280414541007
2018-07-09 04:00:00+00:00,45510,18443,11682,1133,0,854,7764,85386,53637383.21995465,628.1753826148858
2018-07-09 05:00:00+00:00,41089,16415,11687,1078,0,835,8245,79349,48329306.12244898,609.0726552628134
2018-07-09 06:00:00+00:00,37578,14894,11689,1015,0,835,8860,74871,44150784.58049887,589.6913969427263
2018-07-09 07:00:00+00:00,33155,13979,11686,996,0,823,9578,70217,39300018.140589565,559.6937798622779
2018-07-09 08:00:00+00:00,31004,14022,11692,995,0,827,9236,67776,37142376.41723356,548.0166492155565
2018-07-09 09:00:00+00:00,30783,14062,11689,1004,0,826,7961,66325,36935378.684807256,556.8847144335809
2018-07-09 10:00:00+00:00,31884,14809,11698,999,0,826,7048,67264,38357147.39229025,570.2477906798622
2018-07-09 11:00:00+00:00,34033,16185,11699,992,0,817,6581,70307,41098385.48752835,584.5560966550748
2018-07-09 12:00:00+00:00,37970,17804,11700,1012,11,814,5668,74979,45748181.40589569,610.146593124684
2018-07-09 13:00:00+00:00,43004,19909,11694,1041,91,811,4850,81400,51707986.39455782,635.2332480903909
2018-07-09 14:00:00+00:00,47860,22560,11684,1044,128,831,3794,87901,57713106.57596372,656.5693971167987
2018-07-09 15:00:00+00:00,51591,25810,11666,1099,192,853,3158,94369,62827678.004535146,665.766067294717
2018-07-09 16:00:00+00:00,53665,30692,11655,1135,223,884,2918,101172,66939986.39455782,661.6453800909127
2018-07-09 17:00:00+00:00,53494,34821,11650,1145,262,1469,2805,105646,68471079.36507936,648.1180486254033
2018-07-09 18:00:00+00:00,54732,37832,11642,1202,255,1748,2662,110073,70965750.56689343,644.7153304342884
2018-07-09 19:00:00+00:00,55013,41369,11641,1259,268,2322,2453,114325,72709650.79365079,635.990822599176
2018-07-09 20:00:00+00:00,54930,43076,11656,1276,255,2542,2379,116114,73330185.94104308,631.5361277799669
2018-07-09 21:00:00+00:00,55037,44712,11679,1269,273,2623,2304,117897,74113573.69614512,628.6298522960305
2018-07-09 22:00:00+00:00,54950,45332,11654,1302,244,2525,2306,118313,74281460.31746031,627.838532684154
2018-07-09 23:00:00+00:00,54904,45495,11629,1309,205,2342,2232,118116,74302208.61678004,629.061334762268
2018-07-10 00:00:00+00:00,54778,44551,11621,1312,160,2310,1963,116695,73785192.74376418,632.2909528579988
2018-07-10 01:00:00+00:00,54458,41465,11620,1265,75,2156,1748,112787,72187977.32426304,640.0381012374036
2018-07-10 02:00:00+00:00,54806,36761,11619,1212,13,1480,2187,108078,70598589.569161,653.2188749714188
2018-07-10 03:00:00+00:00,54085,33174,11624,1194,0,896,2656,103629,68389065.75963719,659.9413847440118
2018-07-10 04:00:00+00:00,52818,26894,11634,1157,0,845,2940,96288,64515954.64852607,670.0311009526221
2018-07-10 05:00:00+00:00,50430,22357,11635,1109,0,816,2874,89221,60228467.120181404,675.0481066137054
2018-07-10 06:00:00+00:00,45287,20316,11649,1050,0,809,3039,82150,54184839.00226757,659.5841631438535
2018-07-10 07:00:00+00:00,40074,19733,11651,1018,0,810,3118,76404,48672131.51927438,637.0364315909426
2018-07-10 08:00:00+00:00,37360,19429,11654,1020,0,806,3195,73464,45801900.22675737,623.4604735211446
2018-07-10 09:00:00+00:00,35595,18814,11655,1007,0,794,3599,71464,43763079.365079366,612.3793709431234
2018-07-10 10:00:00+00:00,35548,18673,11659,972,0,802,4142,71796,43657356.00907029,608.0750460898977
2018-07-10 11:00:00+00:00,37682,19667,11663,974,0,804,4182,74972,46225773.242630385,616.5738307985699
2018-07-10 12:00:00+00:00,41736,20850,11667,975,12,823,3872,79935,50813959.18367347,635.6909887242568
2018-07-10 13:00:00+00:00,46588,23370,11665,999,60,836,3241,86759,56760970.521541946,654.2372609359484
2018-07-10 14:00:00+00:00,49816,27492,11661,1041,97,802,2294,93203,61726712.018140584,662.2824589137751
2018-07-10 15:00:00+00:00,51869,31780,11652,1087,119,861,1985,99353,65572639.45578231,659.996572381129
2018-07-10 16:00:00+00:00,52724,35951,11644,1144,157,1094,2378,105092,68158698.41269842,648.5621970530432
2018-07-10 17:00:00+00:00,52527,39846,11634,1227,199,1173,2775,109381,69566925.17006803,636.0055692493945
2018-07-10 18:00:00+00:00,53521,43332,11637,1307,184,1936,2351,114268,72010861.67800453,630.1927195540705
2018-07-10 19:00:00+00:00,53696,44642,11635,1332,198,2113,2857,116473,72728480.72562358,624.4235206925517
2018-07-10 20:00:00+00:00,53812,45655,11627,1330,283,2432,2889,118028,73263859.41043083,620.7328719492903
2018-07-10 21:00:00+00:00,53972,46830,11624,1353,276,2763,2304,119122,73910594.10430838,620.4613262395559
2018-07-10 22:00:00+00:00,54203,47257,11623,1357,212,2485,1831,118968,74320435.37414965,624.7094628315988
2018-07-10 23:00:00+00:00,53999,46439,11628,1318,216,2329,1679,117608,73776535.14739229,627.3088152795073
2018-07-11 00:00:00+00:00,53843,44300,11625,1310,163,2285,1626,115152,72736004.53514738,631.6521166384204
2018-07-11 01:00:00+00:00,53739,40781,11626,1258,69,1826,1936,111235,71178539.68253969,639.8933760285853
2018-07-11 02:00:00+00:00,53297,36978,11629,1203,11,1044,2545,106707,69162036.28117913,648.1490087921048
2018-07-11 03:00:00+00:00,52186,32923,11601,1167,0,855,3549,102281,66364947.84580499,648.8492275770182
2018-07-11 04:00:00+00:00,50347,26551,11527,1158,0,846,4900,95329,61875383.21995465,649.0719846002229
2018-07-11 05:00:00+00:00,47216,22282,11574,1114,0,867,5786,88839,56947074.829931974,641.0143611469284
2018-07-11 06:00:00+00:00,43063,20349,11630,1060,0,867,5946,82915,51949242.63038549,626.5361229015919
2018-07-11 07:00:00+00:00,38802,19473,11651,1002,0,869,5837,77634,47278408.1632653,608.9910111969666
2018-07-11 08:00:00+00:00,35831,19107,11673,992,0,871,5836,74310,44122675.73696145,593.7649809845437
2018-07-11 09:00:00+00:00,34338,18961,11686,997,0,870,5832,72684,42552494.33106576,585.4451369086148
2018-07-11 10:00:00+00:00,34866,18587,11693,1001,0,869,6311,73327,42932131.51927438,585.4887220160974
2018-07-11 11:00:00+00:00,36415,19125,11704,1007,0,869,6539,75659,44720725.623582765,591.0826950340709
2018-07-11 12:00:00+00:00,39113,20044,11701,1006,12,858,6270,79004,47828585.03401361,605.3944741280645
2018-07-11 13:00:00+00:00,43325,21694,11702,1005,63,860,5217,83866,52769292.5170068,629.2096024253785
2018-07-11 14:00:00+00:00,47767,24206,11696,1030,144,886,3740,89469,58298353.7414966,651.6039493176028
2018-07-11 15:00:00+00:00,50929,27278,11685,1084,163,923,3141,95203,62764013.605442174,659.2650820398745
2018-07-11 16:00:00+00:00,52523,31840,11679,1182,182,939,2734,101079,66258816.32653061,655.5151547456011
2018-07-11 17:00:00+00:00,52633,35280,11617,1236,242,1383,2862,105253,67789746.03174603,644.0647395489538
2018-07-11 18:00:00+00:00,53887,38500,11639,1233,225,2024,3432,110940,70386852.60770975,634.4587399288782
